/home/shinhwan/.local/lib/python2.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:70: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:68: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
Model #Params: 5110K
...Finish Making Plot Folder...
EPOCH: 1 | TIME: 2020-03-08 22:34:13.822932 
[0][3880] KL: 945.7, Word: 90.09, Topo: 98.62, Assm: 91.99, Steo: 100.00
[0][3900] KL: 882.5, Word: 89.96, Topo: 98.65, Assm: 91.92, Steo: 100.00
[0][3920] KL: 851.5, Word: 90.77, Topo: 98.43, Assm: 91.86, Steo: 100.00
[0][3940] KL: 895.3, Word: 90.67, Topo: 98.66, Assm: 93.51, Steo: 100.00
[0][3960] KL: 917.7, Word: 90.47, Topo: 98.73, Assm: 92.31, Steo: 100.00
[0][3980] KL: 864.4, Word: 90.43, Topo: 98.55, Assm: 92.16, Steo: 100.00
[0][4000] KL: 867.4, Word: 90.59, Topo: 98.54, Assm: 92.52, Steo: 100.00
[0][4020] KL: 894.4, Word: 90.31, Topo: 98.59, Assm: 92.79, Steo: 100.00
[0][4040] KL: 932.7, Word: 90.54, Topo: 98.40, Assm: 91.69, Steo: 100.00
[0][4060] KL: 869.8, Word: 90.32, Topo: 98.34, Assm: 92.12, Steo: 100.00
[0][4080] KL: 930.6, Word: 90.59, Topo: 98.73, Assm: 92.33, Steo: 100.00
[0][4100] KL: 897.6, Word: 90.52, Topo: 98.53, Assm: 92.42, Steo: 100.00
[0][4120] KL: 890.4, Word: 90.74, Topo: 98.60, Assm: 92.45, Steo: 100.00
[0][4140] KL: 938.9, Word: 90.72, Topo: 98.72, Assm: 93.03, Steo: 100.00
[0][4160] KL: 892.8, Word: 91.29, Topo: 98.59, Assm: 92.26, Steo: 100.00
[0][4180] KL: 911.2, Word: 90.85, Topo: 98.55, Assm: 92.99, Steo: 100.00
[0][4200] KL: 871.9, Word: 91.01, Topo: 98.59, Assm: 93.00, Steo: 100.00
[0][4220] KL: 921.9, Word: 91.53, Topo: 98.78, Assm: 93.69, Steo: 100.00
[0][4240] KL: 936.4, Word: 90.31, Topo: 98.53, Assm: 93.38, Steo: 100.00
[0][4260] KL: 886.8, Word: 91.08, Topo: 98.62, Assm: 92.86, Steo: 100.00
[0][4280] KL: 910.5, Word: 91.00, Topo: 98.65, Assm: 92.35, Steo: 100.00
[0][4300] KL: 946.0, Word: 90.94, Topo: 98.83, Assm: 92.60, Steo: 100.00
[0][4320] KL: 931.8, Word: 91.31, Topo: 98.79, Assm: 91.84, Steo: 100.00
[0][4340] KL: 927.3, Word: 91.20, Topo: 98.79, Assm: 92.76, Steo: 100.00
[0][4360] KL: 956.7, Word: 91.24, Topo: 98.64, Assm: 93.58, Steo: 100.00
[0][4380] KL: 993.4, Word: 90.81, Topo: 98.60, Assm: 92.85, Steo: 100.00
[0][4400] KL: 891.1, Word: 90.57, Topo: 98.65, Assm: 93.46, Steo: 100.00
[0][4420] KL: 930.7, Word: 91.15, Topo: 98.66, Assm: 92.87, Steo: 100.00
[0][4440] KL: 934.9, Word: 91.29, Topo: 98.66, Assm: 93.42, Steo: 100.00
[0][4460] KL: 926.4, Word: 91.41, Topo: 98.70, Assm: 93.63, Steo: 100.00
[0][4480] KL: 922.7, Word: 91.10, Topo: 98.48, Assm: 93.50, Steo: 100.00
[0][4500] KL: 913.7, Word: 91.26, Topo: 98.52, Assm: 93.03, Steo: 100.00
[0][4520] KL: 919.2, Word: 91.23, Topo: 98.59, Assm: 93.73, Steo: 100.00
[0][4540] KL: 942.6, Word: 90.78, Topo: 98.47, Assm: 93.64, Steo: 100.00
[0][4560] KL: 947.0, Word: 91.36, Topo: 98.58, Assm: 93.64, Steo: 100.00
[0][4580] KL: 950.5, Word: 91.15, Topo: 98.62, Assm: 93.15, Steo: 100.00
[0][4600] KL: 983.2, Word: 91.59, Topo: 98.65, Assm: 93.27, Steo: 100.00
[0][4620] KL: 926.6, Word: 91.46, Topo: 98.67, Assm: 93.11, Steo: 100.00
[0][4640] KL: 881.0, Word: 91.55, Topo: 98.68, Assm: 93.40, Steo: 100.00
[0][4660] KL: 916.8, Word: 91.41, Topo: 98.58, Assm: 93.45, Steo: 100.00
[0][4680] KL: 951.9, Word: 91.49, Topo: 98.65, Assm: 93.41, Steo: 100.00
[0][4700] KL: 938.9, Word: 91.60, Topo: 98.83, Assm: 94.14, Steo: 100.00
[0][4720] KL: 919.5, Word: 91.27, Topo: 98.68, Assm: 93.91, Steo: 100.00
[0][4740] KL: 974.2, Word: 91.75, Topo: 98.61, Assm: 93.86, Steo: 100.00
[0][4760] KL: 899.6, Word: 91.96, Topo: 98.71, Assm: 93.19, Steo: 100.00
[0][4780] KL: 991.3, Word: 91.72, Topo: 98.68, Assm: 93.49, Steo: 100.00
[0][4800] KL: 899.1, Word: 91.31, Topo: 98.62, Assm: 94.30, Steo: 100.00
[0][4820] KL: 931.0, Word: 91.19, Topo: 98.73, Assm: 93.48, Steo: 100.00
[0][4840] KL: 947.5, Word: 91.36, Topo: 98.72, Assm: 94.35, Steo: 100.00
[0][4860] KL: 917.3, Word: 92.20, Topo: 98.70, Assm: 94.10, Steo: 100.00
[0][4880] KL: 876.8, Word: 91.43, Topo: 98.68, Assm: 93.14, Steo: 100.00
[0][4900] KL: 917.2, Word: 91.55, Topo: 98.60, Assm: 93.44, Steo: 100.00
[0][4920] KL: 943.0, Word: 91.70, Topo: 98.74, Assm: 93.40, Steo: 100.00
[0][4940] KL: 922.3, Word: 91.58, Topo: 98.87, Assm: 94.76, Steo: 100.00
[0][4960] KL: 975.0, Word: 91.43, Topo: 98.47, Assm: 93.64, Steo: 100.00
[0][4980] KL: 934.3, Word: 91.68, Topo: 98.68, Assm: 93.46, Steo: 100.00
